Condition	Block	Frequency	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7
102	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
103	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
104	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
105	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
106	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
107	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
108	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
109	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
110	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
111	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
112	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
113	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
114	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
115	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
116	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
117	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
118	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
119	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
120	5	1	kikuchi_localglobal_v2	fix(0,0)	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/low_50ms.wav')	snd('stimuli/high_50ms.wav')	snd('stimuli/low_50ms.wav')
